Town,Designation,Date,Land area,Population,Form of,County,Council of Governments,Native American
milford,City,1639,22.56,"52,759",Mayor-council,New Haven County,South Central,Wepawaug
monroe,Town,1823,26.13,"19,479",Town meeting,Fairfield County,CT Metropolitan,
montville,Town,1786,42.02,"19,571",Mayor-council,New London County,South Centraleastern CT,
morris,Town,1859,17.19,"2,388",Town meeting,Litchfield County,Northwest Hills,
naugatuck,Borough,1844,16.39,"31,862",Mayor-council,New Haven County,Naugatuck Valley,
new britain,City,1850,13.34,"73,206",Mayor-council,Hartford County,Capitol Region,
new canaan,Town,1801,22.13,"19,738",Mayor-council,Fairfield County,Western CT,
new fairfield,Town,1740,20.46,"13,881",Town meeting,Fairfield County,Western CT,
new hartford,Town,1738,37.03,"6,970",Town meeting,Litchfield County,Northwest Hills,
new haven,City,1638,18.85,"129,779",Mayor-council,New Haven County,South Central,Quinnipiac
new london,City,1646,5.54,"27,620",Mayor-council,New London County,South Centraleastern CT,Nameaug
new milford,Town,1712,61.59,"28,142",Mayor-council,Litchfield County,Western CT,Weantinogue
newington,Town,1871,13.18,"30,562",Council-manager,Hartford County,Capitol Region,
newtown,Town,1711,57.76,"27,560",Town meeting,Fairfield County,Western CT,Quonapague
norfolk,Town,1758,45.31,"1,709",Town meeting,Litchfield County,Northwest Hills,
north branford,Town,1831,24.92,"14,407",Council-manager,New Haven County,South Central,
north canaan,Town,1858,19.45,"3,315",Town meeting,Litchfield County,Northwest Hills,
north haven,Town,1786,20.77,"24,093",Town meeting,New Haven County,South Central,
north stonington,Town,1807,54.31,"5,297",Town meeting,New London County,South Centraleastern CT,
norwalk,City,1651,22.81,"85,603",Mayor-council,Fairfield County,Western CT,Naramauke
norwich,City,1662,28.33,"40,493",Council-manager,New London County,South Centraleastern CT,Mohegan
old lyme,Town,1855,23.1,"7,603",Town meeting,New London County,Lower CT River,
old saybrook,Town,1854,15.04,"10,242",Town meeting,Middlesex County,Lower CT River,
orange,Town,1822,17.19,"13,956",Town meeting,New Haven County,South Central,
oxford,Town,1798,32.89,"12,683",Town meeting,New Haven County,Naugatuck Valley,
plainfield,Town,1699,42.27,"15,405",Town meeting,Windham County,Northeast CT,
plainville,Town,1869,9.76,"17,716",Council-manager,Hartford County,Capitol Region,
plymouth,Town,1795,21.72,"12,243",Mayor-council,Litchfield County,Naugatuck Valley,
pomfret,Town,1713,40.3,"4,247",Town meeting,Windham County,Northeast CT,Mashamoquet
portland,Town,1841,23.4,"9,508",Town meeting,Middlesex County,Lower CT River,
preston,Town,1687,30.9,"4,726",Town meeting,New London County,South Centraleastern CT,
prospect,Town,1827,14.32,"9,405",Mayor-council,New Haven County,Naugatuck Valley,
putnam,Town,1855,20.29,"9,584",Town meeting,Windham County,Northeast CT,Quinebaug
redding,Town,1767,31.5,"9,158",Town meeting,Fairfield County,Western CT,
ridgefield,Town,1709,34.43,"24,638",Town meeting,Fairfield County,Western CT,Caudatowa
rocky hill,Town,1843,13.45,"19,709",Representative town meeting,Hartford County,Capitol Region,
roxbury,Town,1796,26.23,"2,262",Town meeting,Litchfield County,Northwest Hills,Shepaug
salem,Town,1819,28.95,"4,151",Town meeting,New London County,South Centraleastern CT,
salisbury,Town,1741,57.32,"3,741",Town meeting,Litchfield County,Northwest Hills,Weatogue
scotland,Town,1857,18.61,"1,726",Town meeting,Windham County,Northeast CT,
seymour,Town,1850,14.57,"16,540",Town meeting,New Haven County,Naugatuck Valley,Naugatuck
sharon,Town,1739,58.7,"2,782",Town meeting,Litchfield County,Northwest Hills,
shelton,City,1789,30.57,"39,559",Mayor-council,Fairfield County,Naugatuck Valley,Quorum
sherman,Town,1802,21.8,"3,581",Town meeting,Fairfield County,Western CT,
simsbury,Town,1670,33.88,"23,511",Town meeting,Hartford County,Capitol Region,
somers,Town,1734,28.34,"11,444",Town meeting,Tolland County,Capitol Region,
south windsor,Town,1845,27.96,"25,709",Council-manager,Hartford County,Capitol Region,
southbury,Town,1787,39.06,"19,904",Town meeting,New Haven County,Naugatuck Valley,
southington,Town,1779,35.99,"43,069",Council-manager,Hartford County,Capitol Region,
sprague,Town,1861,13.21,"2,984",Town meeting,New London County,South Centraleastern CT,
stafford,Town,1719,57.96,"12,087",Town meeting,Tolland County,Capitol Region,
stamford,City,1641,37.75,"122,643",Mayor-council,Fairfield County,Western CT,Rippowam
sterling,Town,1794,27.23,"3,830",Town meeting,Windham County,Northeast CT,
stonington,Town,1662,38.69,"18,545",Town meeting,New London County,South Centraleastern CT,"Pawcatuck, Mistack"
stratford,Town,1639,17.59,"51,384",Mayor-council,Fairfield County,CT Metropolitan,Cupheag
suffield,Town,1674,42.21,"15,735",Town meeting,Hartford County,Capitol Region,
thomaston,Town,1875,12.01,"7,887",Town meeting,Litchfield County,Naugatuck Valley,
thompson,Town,1785,46.94,"9,458",Town meeting,Windham County,Northeast CT,
tolland,Town,1715,39.71,"15,052",Council-manager,Tolland County,Capitol Region,
torrington,City,1740,39.79,"36,383",Mayor-council,Litchfield County,Northwest Hills,
trumbull,Town,1797,23.29,"36,018",Mayor-council,Fairfield County,CT Metropolitan,
union,Town,1734,28.71,854,Town meeting,Tolland County,Northeast CT,
vernon,Town,1808,17.73,"29,179",Mayor-council,Tolland County,Capitol Region,
voluntown,Town,1721,38.92,"2,603",Town meeting,New London County,Northeast CT,
wallingford,Town,1670,39.02,"45,135",Mayor-council,New Haven County,South Central,Quinnipiac
warren,Town,1786,26.31,"1,461",Town meeting,Litchfield County,Northwest Hills,
washington,Town,1779,38.19,"3,578",Town meeting,Litchfield County,Northwest Hills,
waterbury,City,1686,28.57,"110,366",Mayor-council,New Haven County,Naugatuck Valley,Mattatuck
waterford,Town,1801,32.75,"19,517",Representative town meeting,New London County,South Centraleastern CT,
watertown,Town,1780,29.15,"22,514",Council-manager,Litchfield County,Naugatuck Valley,
west hartford,Town,1854,21.98,"63,268",Council-manager,Hartford County,Capitol Region,
west haven,City,1921,10.84,"55,564",Mayor-council,New Haven County,South Central,
westbrook,Town,1840,15.72,"6,938",Town meeting,Middlesex County,Lower CT River,Pochaug
weston,Town,1787,19.8,"10,179",Town meeting,Fairfield County,Western CT,Aspetuck
westport,Town,1835,20.01,"26,391",Representative town meeting,Fairfield County,Western CT,Saugatuck
wethersfield,Town,1634,12.39,"26,668",Council-manager,Hartford County,Capitol Region,Pyquag
willington,Town,1727,33.27,"6,041",Town meeting,Tolland County,Capitol Region,
wilton,Town,1802,26.95,"18,062",Town meeting,Fairfield County,Western CT,
winchester,Town,1771,32.28,"11,242",Council-manager,Litchfield County,Northwest Hills,
windham,Town,1692,27.07,"25,268",Town meeting,Windham County,South Centraleastern CT,
windsor,Town,1633,29.63,"29,044",Council-manager,Hartford County,Capitol Region,
windsor locks,Town,1854,9.03,"12,498",Town meeting,Hartford County,Capitol Region,
wolcott,Town,1796,20.43,"16,680",Mayor-council,New Haven County,Naugatuck Valley,
woodbridge,Town,1784,18.83,"8,990",Town meeting,New Haven County,South Central,
woodbury,Town,1673,36.47,"9,975",Town meeting,Litchfield County,Naugatuck Valley,Pomperaug
woodstock,Town,1686,60.54,"7,964",Town meeting,Windham County,Northeast CT,
